commit,path,add,del,arch,subsys,topdir
0aeeb09cf1fafa2aca24164d629be0eed37f46f0,src/arch/amdgpu/common/dtype/mxfp_convert.hh,11.0,20.0,amdgpu,arch,src
9a4feaaa4868bf38646fa98f9e911ec8a333430b,src/cpu/base.cc,12.0,0.0,,cpu,src
9a4feaaa4868bf38646fa98f9e911ec8a333430b,src/cpu/base.hh,8.0,0.0,,cpu,src
9a4feaaa4868bf38646fa98f9e911ec8a333430b,src/cpu/kvm/base.cc,8.0,2.0,,cpu,src
9a4feaaa4868bf38646fa98f9e911ec8a333430b,src/cpu/minor/execute.cc,13.0,5.0,,cpu/minor,src
9a4feaaa4868bf38646fa98f9e911ec8a333430b,src/cpu/o3/commit.cc,9.0,1.0,,cpu/o3,src
9a4feaaa4868bf38646fa98f9e911ec8a333430b,src/cpu/o3/cpu.cc,6.0,0.0,,cpu/o3,src
9a4feaaa4868bf38646fa98f9e911ec8a333430b,src/cpu/o3/cpu.hh,8.0,0.0,,cpu/o3,src
9a4feaaa4868bf38646fa98f9e911ec8a333430b,src/cpu/simple/base.cc,11.0,2.0,,cpu/simple,src
82ef0b67f0137ad56a7d3f59c12877a5ea97f166,src/dev/amdgpu/sdma_engine.cc,29.0,16.0,,dev,src
82ef0b67f0137ad56a7d3f59c12877a5ea97f166,src/dev/amdgpu/sdma_engine.hh,2.0,0.0,,dev,src
5fbcd9b8b42fdde31ec0c62913fc4673904bcaf5,src/dev/amdgpu/sdma_engine.cc,20.0,9.0,,dev,src
5fbcd9b8b42fdde31ec0c62913fc4673904bcaf5,src/dev/amdgpu/sdma_engine.hh,2.0,1.0,,dev,src
09b24a13836b961e833704e7dde0563b4bfee0cb,src/dev/amdgpu/amdgpu_nbio.cc,43.0,2.0,,dev,src
09b24a13836b961e833704e7dde0563b4bfee0cb,src/dev/amdgpu/amdgpu_nbio.hh,48.0,0.0,,dev,src
09b24a13836b961e833704e7dde0563b4bfee0cb,src/dev/amdgpu/amdgpu_vm.hh,48.0,0.0,,dev,src
